snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-08-28T01,27546,3,o_p_hacker,495,en,2026-08-27T21:40:26Z
2026-08-28T01,1253800827,1,giggand,2911,de,2026-08-27T18:17:21Z
2026-08-28T01,1253800827,2,its_y0u_kn0w,8,en,2026-08-27T23:00:18Z
2026-08-28T01,1253800827,3,greyshadowwolf,3,en,2026-08-27T23:00:01Z
2026-08-28T01,518184,1,twigbot_,291,en,2026-08-27T22:06:28Z
2026-08-28T01,518184,2,bimbam_gaming,262,en,2026-08-27T22:57:42Z
2026-08-28T01,518184,3,cooperscharms,139,en,2026-08-28T01:00:06Z
2026-08-28T01,490655,1,hoshiri13,582,en,2026-08-27T13:10:15Z
2026-08-28T01,490655,2,badgeforbadge,498,en,2026-08-27T19:06:34Z
2026-08-28T01,490655,3,ofuris,399,en,2026-08-27T03:51:41Z
2026-08-28T01,55453844,1,nemo_good,927,ja,2026-08-27T23:13:35Z
2026-08-28T01,55453844,2,zainnaghmi,298,en,2026-08-27T21:00:45Z
2026-08-28T01,55453844,3,nychrisg,156,en,2026-08-27T19:31:00Z
2026-08-28T01,540132929,1,vargskelethor,2824,en,2026-08-28T00:03:48Z
2026-08-28T01,852009328,1,clovaobengala,467,pt,2026-08-27T21:43:25Z
2026-08-28T01,852009328,2,iitzotaku,233,en,2026-08-27T18:40:19Z
2026-08-28T01,852009328,3,enzotps,214,en,2026-08-27T17:33:54Z
2026-08-28T01,1846293708,1,whatifjulia,720,en,2026-08-27T23:31:43Z
2026-08-28T01,1846293708,2,amandaspeaks,496,en,2026-08-27T22:25:20Z
2026-08-28T01,1846293708,3,archit3ct,122,en,2026-08-27T22:13:18Z
2026-08-28T01,401587136,1,mozgoejka,431,ru,2026-08-27T21:13:35Z
2026-08-28T01,401587136,2,j3llybag3l,207,en,2026-08-28T00:00:04Z
2026-08-28T01,401587136,3,trakassinn,175,es,2026-08-27T19:08:32Z
2026-08-28T01,15229,1,radaxt,2177,pt,2026-08-27T18:36:35Z
2026-08-28T01,15229,2,mimilulu23,135,pt,2026-08-27T22:18:05Z
2026-08-28T01,15229,3,cabanadosentinela,43,pt,2026-08-27T23:00:09Z
2026-08-28T01,884569009,1,conix,1351,en,2026-08-27T20:58:47Z
2026-08-28T01,884569009,2,zeuz_0,187,en,2026-08-28T00:59:47Z
2026-08-28T01,884569009,3,sidsity,155,en,2026-08-28T01:23:26Z
2026-08-28T01,512923,1,patopapao,486,pt,2026-08-27T21:20:15Z
2026-08-28T01,512923,2,helheim_lynx,345,en,2026-08-28T01:04:51Z
2026-08-28T01,512923,3,deckedoutedh,105,en,2026-08-27T21:28:38Z
2026-08-28T01,21465,1,mrekk,1797,en,2026-08-28T00:07:18Z
2026-08-28T01,21465,2,koifishu,161,en,2026-08-26T23:28:40Z
2026-08-28T01,21465,3,cityyyno,36,en,2026-08-27T23:08:32Z
2026-08-28T01,71375,1,queen_pwnzalot,295,en,2026-08-28T00:16:06Z
2026-08-28T01,71375,2,theastropub,171,en,2026-08-28T00:09:19Z
2026-08-28T01,71375,3,xerostate,159,en,2026-08-27T23:25:02Z
2026-08-28T01,417752,1,gigaboots,248,en,2026-08-28T01:17:59Z
2026-08-28T01,417752,2,realinfowars,240,en,2026-08-27T23:57:34Z
2026-08-28T01,417752,3,dcp_live,117,en,2026-08-28T01:10:35Z
2026-08-28T01,1544653089,1,mictia00,1543,es,2026-08-27T21:30:44Z
2026-08-28T01,1544653089,2,evapartis,416,es,2026-08-28T00:42:30Z
2026-08-28T01,1544653089,3,shurahiwa,165,es,2026-08-27T23:45:14Z
2026-08-28T01,1678532194,1,showinstatssam,71,en,2026-08-27T23:39:45Z
2026-08-28T01,1678532194,2,invinsonable1,48,en,2026-08-27T22:54:17Z
2026-08-28T01,1678532194,3,itsginobili__,44,en,2026-08-28T00:20:17Z
2026-08-28T05,937636808,1,caseoh_,57081,en,2026-08-28T02:02:24Z
2026-08-28T05,1115711128,1,xqc,16706,en,2026-08-27T17:47:50Z
2026-08-28T05,1115711128,2,redify,501,en,2026-08-28T00:54:05Z
2026-08-28T05,1115711128,3,wonktootie,39,en,2026-08-28T05:00:12Z
2026-08-28T05,1033687757,1,vargskelethor,2346,en,2026-08-28T00:03:48Z
2026-08-28T05,2066107586,1,burkeblack,944,en,2026-08-28T00:48:59Z
2026-08-28T05,2066107586,2,gassymexican,633,en,2026-08-27T23:41:22Z
2026-08-28T05,2066107586,3,cletusbueford,56,en,2026-08-28T00:01:45Z
2026-08-28T05,676802825,1,kaylieuh,221,en,2026-08-28T01:32:55Z
2026-08-28T05,676802825,2,cynder8342,119,en,2026-08-28T00:00:07Z
2026-08-28T05,676802825,3,sunflowersmith,117,en,2026-08-28T00:35:59Z
2026-08-28T05,1042236765,1,pippa,1112,en,2026-08-28T00:57:31Z
2026-08-28T05,1042236765,2,yulihong22,733,zh,2026-08-28T01:13:56Z
2026-08-28T05,1042236765,3,raginggoldeneagle,18,en,2026-08-28T00:59:57Z
